continente,pais,ano,mes,chegadas
Africa,Cabo Verde,2019,dezembro,64
Africa,Cabo Verde,2019,fevereiro,100
Africa,Cabo Verde,2019,janeiro,113
Africa,Cabo Verde,2019,julho,76
Africa,Cabo Verde,2019,junho,90
Africa,Cabo Verde,2019,maio,88
Africa,Cabo Verde,2019,marco,106
Africa,Cabo Verde,2019,novembro,132
Africa,Cabo Verde,2019,outubro,32
Africa,Cabo Verde,2019,setembro,93
Africa,Cabo Verde,2020,dezembro,4
Africa,Cabo Verde,2020,fevereiro,49
Africa,Cabo Verde,2020,janeiro,74
Africa,Cabo Verde,2020,marco,80
Africa,Cabo Verde,2020,novembro,8
Africa,Cabo Verde,2020,outubro,2
Africa,Cabo Verde,2021,abril,2
Africa,Cabo Verde,2021,agosto,6
Africa,Cabo Verde,2021,dezembro,1
Africa,Cabo Verde,2021,janeiro,3
Africa,Cabo Verde,2021,julho,5
Africa,Cabo Verde,2021,junho,3
Africa,Cabo Verde,2021,maio,5
Africa,Cabo Verde,2021,novembro,3
Africa,Cabo Verde,2021,outubro,7
Africa,Cabo Verde,2021,setembro,6
Africa,Cabo Verde,2022,abril,3
Africa,Cabo Verde,2022,agosto,6
Africa,Cabo Verde,2022,dezembro,7
Africa,Cabo Verde,2022,fevereiro,6
Africa,Cabo Verde,2022,janeiro,1
Africa,Cabo Verde,2022,julho,2
Africa,Cabo Verde,2022,junho,9
Africa,Cabo Verde,2022,maio,6
Africa,Cabo Verde,2022,novembro,3
Africa,Cabo Verde,2022,outubro,5
Africa,Cabo Verde,2022,setembro,2
Africa,Cabo Verde,2022,marco,16
Africa,Cabo Verde,2023,abril,18
Africa,Cabo Verde,2023,agosto,3
Africa,Cabo Verde,2023,dezembro,3
Africa,Cabo Verde,2023,fevereiro,10
Africa,Cabo Verde,2023,janeiro,9
Africa,Cabo Verde,2023,julho,2
Africa,Cabo Verde,2023,junho,4
Africa,Cabo Verde,2023,maio,19
Africa,Cabo Verde,2023,marco,10
Africa,Cabo Verde,2023,novembro,20
Africa,Cabo Verde,2023,outubro,6
Africa,Cabo Verde,2023,setembro,12
Africa,Cabo Verde,2024,abril,3
Africa,Cabo Verde,2024,agosto,6
Africa,Cabo Verde,2024,dezembro,3
Africa,Cabo Verde,2024,fevereiro,14
Africa,Cabo Verde,2024,janeiro,4
Africa,Cabo Verde,2024,julho,7
Africa,Cabo Verde,2024,junho,9
Africa,Cabo Verde,2024,maio,15
Africa,Cabo Verde,2024,marco,15
Africa,Cabo Verde,2024,novembro,14
Africa,Cabo Verde,2024,outubro,15
Africa,Cabo Verde,2024,setembro,19
Africa,Egito,2015,dezembro,2
Africa,Egito,2015,julho,3
Africa,Egito,2016,agosto,3
Africa,Egito,2016,dezembro,2
Africa,Egito,2016,marco,2
Africa,Egito,2017,agosto,1
Africa,Egito,2017,outubro,1
Africa,Egito,2018,agosto,4
Africa,Egito,2018,fevereiro,1
Africa,Egito,2018,junho,1
Africa,Egito,2018,novembro,1
Africa,Egito,2018,setembro,1
Africa,Egito,2019,agosto,7
Africa,Egito,2019,janeiro,2
Africa,Egito,2019,julho,1
Africa,Egito,2019,junho,4
Africa,Egito,2019,setembro,1
Africa,Egito,2020,fevereiro,3
Africa,Egito,2020,janeiro,1
Africa,Egito,2020,marco,1
Africa,Egito,2022,dezembro,1
Africa,Egito,2022,novembro,1
Africa,Egito,2022,setembro,2
Africa,Egito,2023,dezembro,1
Africa,Egito,2024,agosto,1
Africa,Egito,2024,dezembro,2
Africa,Egito,2024,fevereiro,1
Africa,Egito,2024,julho,1
Africa,Egito,2024,novembro,2
Africa,Egito,2024,outubro,2
Africa,Gana,2015,fevereiro,2
Africa,Gana,2015,marco,2
Africa,Gana,2015,outubro,2
Africa,Gana,2015,setembro,2
Africa,Gana,2016,julho,2
Africa,Gana,2017,novembro,2
Africa,Gana,2017,outubro,1
Africa,Gana,2018,agosto,1
Africa,Gana,2018,setembro,6
Africa,Gana,2019,janeiro,1
Africa,Gana,2019,junho,1
Africa,Gana,2019,maio,1
Africa,Gana,2019,setembro,1
Africa,Gana,2023,abril,1
Africa,Gana,2023,setembro,1
Africa,Gana,2024,outubro,1
Africa,Marrocos,2015,abril,2
Africa,Marrocos,2015,dezembro,10
Africa,Marrocos,2015,fevereiro,5
Africa,Marrocos,2015,novembro,5
Africa,Marrocos,2015,outubro,5
Africa,Marrocos,2015,setembro,2
Africa,Marrocos,2016,abril,2
Africa,Marrocos,2016,agosto,8
Africa,Marrocos,2016,dezembro,3
Africa,Marrocos,2016,fevereiro,2
Africa,Marrocos,2016,janeiro,6
Africa,Marrocos,2016,julho,2
Africa,Marrocos,2016,maio,2
Africa,Marrocos,2017,abril,1
Africa,Marrocos,2017,agosto,3
Africa,Marrocos,2017,dezembro,4
Africa,Marrocos,2017,janeiro,2
Africa,Marrocos,2017,julho,4
Africa,Marrocos,2017,maio,1
Africa,Marrocos,2017,marco,2
Africa,Marrocos,2017,novembro,4
Africa,Marrocos,2017,setembro,2
Africa,Marrocos,2018,abril,10
Africa,Marrocos,2018,agosto,4
Africa,Marrocos,2018,dezembro,12
Africa,Marrocos,2018,julho,4
Africa,Marrocos,2018,junho,6
Africa,Marrocos,2018,maio,1
Africa,Marrocos,2018,marco,6
Africa,Marrocos,2018,novembro,7
Africa,Marrocos,2018,outubro,4
Africa,Marrocos,2018,setembro,4
Africa,Marrocos,2019,abril,13
Africa,Marrocos,2019,agosto,6
Africa,Marrocos,2019,dezembro,2
Africa,Marrocos,2019,fevereiro,4
Africa,Marrocos,2019,janeiro,5
Africa,Marrocos,2019,julho,2
Africa,Marrocos,2019,junho,3
Africa,Marrocos,2019,maio,1
Africa,Marrocos,2019,marco,2
Africa,Marrocos,2019,novembro,3
Africa,Marrocos,2019,outubro,2
Africa,Marrocos,2019,setembro,2
Africa,Marrocos,2020,agosto,1
Africa,Marrocos,2020,dezembro,1
Africa,Marrocos,2020,fevereiro,7
Africa,Marrocos,2020,marco,1
Africa,Marrocos,2020,novembro,1
Africa,Marrocos,2020,outubro,1
Africa,Marrocos,2021,agosto,1
Africa,Marrocos,2021,dezembro,2
Africa,Marrocos,2022,agosto,5
Africa,Marrocos,2022,dezembro,2
Africa,Marrocos,2022,janeiro,1
Africa,Marrocos,2022,julho,1
Africa,Marrocos,2022,maio,4
Africa,Marrocos,2022,novembro,5
Africa,Marrocos,2022,outubro,7
Africa,Marrocos,2022,setembro,1
Africa,Marrocos,2023,abril,4
Africa,Marrocos,2023,agosto,5
Africa,Marrocos,2023,dezembro,2
Africa,Marrocos,2023,fevereiro,5
Africa,Marrocos,2023,janeiro,2
Africa,Marrocos,2023,julho,1
Africa,Marrocos,2023,junho,1
Africa,Marrocos,2023,maio,2
Africa,Marrocos,2023,marco,1
Africa,Marrocos,2023,novembro,4
Africa,Marrocos,2023,outubro,1
Africa,Marrocos,2023,setembro,3
Africa,Marrocos,2024,abril,4
Africa,Marrocos,2024,agosto,7
Africa,Marrocos,2024,dezembro,2
Africa,Marrocos,2024,fevereiro,2
Africa,Marrocos,2024,janeiro,3
Africa,Marrocos,2024,julho,1
Africa,Marrocos,2024,junho,11
Africa,Marrocos,2024,maio,2
Africa,Marrocos,2024,marco,1
Africa,Marrocos,2024,novembro,6
Africa,Marrocos,2024,outubro,1
Africa,Marrocos,2024,setembro,5
Africa,Mocambique,2015,novembro,3
Africa,Mocambique,2016,fevereiro,2
Africa,Mocambique,2016,julho,3
Africa,Mocambique,2016,outubro,6
Africa,Mocambique,2018,abril,1
Africa,Mocambique,2018,junho,1
Africa,Mocambique,2018,novembro,1
Africa,Mocambique,2019,agosto,1
Africa,Mocambique,2019,maio,4
Africa,Mocambique,2020,dezembro,1
Africa,Mocambique,2022,abril,1
Africa,Mocambique,2022,fevereiro,1
Africa,Mocambique,2022,junho,1
Africa,Mocambique,2022,maio,1
Africa,Mocambique,2023,maio,1
Africa,Mocambique,2023,marco,12
Africa,Mocambique,2024,dezembro,4
Africa,Mocambique,2024,julho,1
Africa,Mocambique,2024,marco,2
Africa,Nigeria,2015,fevereiro,3
Africa,Nigeria,2015,janeiro,2
Africa,Nigeria,2015,julho,2
Africa,Nigeria,2016,abril,2
Africa,Nigeria,2016,dezembro,2
Africa,Nigeria,2016,fevereiro,2
Africa,Nigeria,2016,outubro,2
Africa,Nigeria,2018,janeiro,1
Africa,Nigeria,2018,julho,1
Africa,Nigeria,2018,maio,1
Africa,Nigeria,2018,novembro,1
Africa,Nigeria,2018,setembro,4
Africa,Nigeria,2019,fevereiro,3
Africa,Nigeria,2019,outubro,2
Africa,Nigeria,2023,setembro,1
Africa,Nigeria,2024,junho,3
Africa,Nigeria,2024,maio,1
Africa,Nigeria,2024,setembro,1
Africa,Outros paises,2015,abril,18
Africa,Outros paises,2015,agosto,14
Africa,Outros paises,2015,dezembro,26
Africa,Outros paises,2015,fevereiro,36
Africa,Outros paises,2015,janeiro,27
Africa,Outros paises,2015,julho,28
Africa,Outros paises,2015,junho,19
Africa,Outros paises,2015,maio,21
Africa,Outros paises,2015,marco,17
Africa,Outros paises,2015,novembro,25
Africa,Outros paises,2015,outubro,44
Africa,Outros paises,2015,setembro,16
Africa,Outros paises,2016,abril,16
Africa,Outros paises,2016,agosto,33
Africa,Outros paises,2016,dezembro,8
Africa,Outros paises,2016,fevereiro,24
Africa,Outros paises,2016,janeiro,22
Africa,Outros paises,2016,julho,16
Africa,Outros paises,2016,junho,14
Africa,Outros paises,2016,maio,19
Africa,Outros paises,2016,marco,32
Africa,Outros paises,2016,novembro,19
Africa,Outros paises,2016,outubro,19
Africa,Outros paises,2016,setembro,19
Africa,Outros paises,2017,abril,8
Africa,Outros paises,2017,agosto,17
Africa,Outros paises,2017,dezembro,21
Africa,Outros paises,2017,fevereiro,12
Africa,Outros paises,2017,janeiro,13
Africa,Outros paises,2017,julho,20
Africa,Outros paises,2017,junho,10
Africa,Outros paises,2017,maio,8
Africa,Outros paises,2017,marco,10
Africa,Outros paises,2017,novembro,22
Africa,Outros paises,2017,outubro,18
Africa,Outros paises,2017,setembro,12
Africa,Outros paises,2018,abril,35
Africa,Outros paises,2018,agosto,27
Africa,Outros paises,2018,dezembro,58
Africa,Outros paises,2018,fevereiro,15
Africa,Outros paises,2018,janeiro,9
Africa,Outros paises,2018,julho,9
Africa,Outros paises,2018,junho,10
Africa,Outros paises,2018,maio,13
Africa,Outros paises,2018,marco,13
Africa,Outros paises,2018,novembro,33
Africa,Outros paises,2018,outubro,21
Africa,Outros paises,2018,setembro,31
Africa,Outros paises,2019,abril,23
Africa,Outros paises,2019,agosto,16
Africa,Outros paises,2019,dezembro,18
Africa,Outros paises,2019,fevereiro,23
Africa,Outros paises,2019,janeiro,17
Africa,Outros paises,2019,julho,19
Africa,Outros paises,2019,junho,12
Africa,Outros paises,2019,maio,16
Africa,Outros paises,2019,marco,17
Africa,Outros paises,2019,novembro,10
Africa,Outros paises,2019,outubro,20
Africa,Outros paises,2019,setembro,21
Africa,Outros paises,2020,agosto,2
Africa,Outros paises,2020,dezembro,1
Africa,Outros paises,2020,fevereiro,17
Africa,Outros paises,2020,janeiro,13
Africa,Outros paises,2020,marco,7
Africa,Outros paises,2020,novembro,1
Africa,Outros paises,2020,outubro,2
Africa,Outros paises,2021,agosto,1
Africa,Outros paises,2021,dezembro,3
Africa,Outros paises,2021,maio,2
Africa,Outros paises,2021,novembro,3
Africa,Outros paises,2022,abril,4
Africa,Outros paises,2022,agosto,4
Africa,Outros paises,2022,dezembro,10
Africa,Outros paises,2022,fevereiro,2
Africa,Outros paises,2022,janeiro,1
Africa,Outros paises,2022,julho,7
Africa,Outros paises,2022,junho,6
Africa,Outros paises,2022,maio,2
Africa,Outros paises,2022,novembro,8
Africa,Outros paises,2022,outubro,5
Africa,Outros paises,2022,setembro,12
Africa,Outros paises,2022,marco,5
Africa,Outros paises,2023,abril,2
Africa,Outros paises,2023,agosto,1
Africa,Outros paises,2023,dezembro,6
Africa,Outros paises,2023,fevereiro,2
Africa,Outros paises,2023,janeiro,5
Africa,Outros paises,2023,julho,7
Africa,Outros paises,2023,junho,3
Africa,Outros paises,2023,maio,9
Africa,Outros paises,2023,marco,3
Africa,Outros paises,2023,novembro,3
Africa,Outros paises,2023,outubro,11
Africa,Outros paises,2023,setembro,7
Africa,Outros paises da Africa,2024,abril,1
Africa,Outros paises da Africa,2024,agosto,8
Africa,Outros paises da Africa,2024,dezembro,6
Africa,Outros paises da Africa,2024,fevereiro,7
Africa,Outros paises da Africa,2024,janeiro,4
Africa,Outros paises da Africa,2024,julho,6
Africa,Outros paises da Africa,2024,junho,4
Africa,Outros paises da Africa,2024,maio,6
Africa,Outros paises da Africa,2024,marco,6
Africa,Outros paises da Africa,2024,novembro,14
Africa,Outros paises da Africa,2024,outubro,16
Africa,Outros paises da Africa,2024,setembro,4
Africa,Quenia,2016,maio,2
Africa,Quenia,2018,dezembro,1
Africa,Quenia,2018,novembro,1
Africa,Quenia,2018,outubro,6
Africa,Quenia,2018,setembro,1
Africa,Quenia,2019,janeiro,1
Africa,Quenia,2019,outubro,2
Africa,Quenia,2019,setembro,1
Africa,Quenia,2020,fevereiro,1
Africa,Quenia,2023,outubro,4
Africa,Quenia,2024,dezembro,4
Africa,Quenia,2024,janeiro,1
Africa,Quenia,2024,setembro,1
Africa,Tunisia,2015,junho,3
Africa,Tunisia,2015,maio,2
Africa,Tunisia,2015,outubro,2
Africa,Tunisia,2016,julho,2
Africa,Tunisia,2016,outubro,2
Africa,Tunisia,2016,setembro,2
Africa,Tunisia,2017,outubro,1
Africa,Tunisia,2017,setembro,1
Africa,Tunisia,2018,abril,1
Africa,Tunisia,2018,agosto,4
Africa,Tunisia,2018,dezembro,7
Africa,Tunisia,2018,junho,1
Africa,Tunisia,2018,novembro,13
Africa,Tunisia,2018,outubro,3
Africa,Tunisia,2019,abril,2
Africa,Tunisia,2019,agosto,1
Africa,Tunisia,2019,dezembro,3
Africa,Tunisia,2019,fevereiro,2
Africa,Tunisia,2019,janeiro,1
Africa,Tunisia,2019,julho,3
Africa,Tunisia,2019,junho,2
Africa,Tunisia,2019,maio,1
Africa,Tunisia,2019,novembro,5
Africa,Tunisia,2019,outubro,1
Africa,Tunisia,2019,setembro,1
Africa,Tunisia,2020,fevereiro,1
Africa,Tunisia,2020,janeiro,11
Africa,Tunisia,2021,dezembro,1
Africa,Tunisia,2021,janeiro,1
Africa,Tunisia,2021,novembro,2
Africa,Tunisia,2022,abril,1
Africa,Tunisia,2022,agosto,1
Africa,Tunisia,2022,fevereiro,1
Africa,Tunisia,2022,janeiro,1
Africa,Tunisia,2022,julho,4
Africa,Tunisia,2022,novembro,3
Africa,Tunisia,2022,setembro,2
Africa,Tunisia,2023,dezembro,3
Africa,Tunisia,2023,fevereiro,2
Africa,Tunisia,2023,julho,6
Africa,Tunisia,2023,maio,1
Africa,Tunisia,2023,marco,1
Africa,Tunisia,2023,outubro,1
Africa,Tunisia,2023,setembro,2
Africa,Tunisia,2024,abril,1
Africa,Tunisia,2024,agosto,2
Africa,Tunisia,2024,dezembro,2
Africa,Tunisia,2024,fevereiro,2
Africa,Tunisia,2024,janeiro,3
Africa,Tunisia,2024,julho,4
Africa,Tunisia,2024,novembro,2
Africa,Tunisia,2024,outubro,1
America Central e Caribe,Costa Rica,2015,agosto,2
America Central e Caribe,Costa Rica,2015,dezembro,7
America Central e Caribe,Costa Rica,2015,janeiro,3
America Central e Caribe,Costa Rica,2015,junho,3
America Central e Caribe,Costa Rica,2015,marco,3
America Central e Caribe,Costa Rica,2015,novembro,2
America Central e Caribe,Costa Rica,2015,outubro,3
America Central e Caribe,Costa Rica,2016,agosto,2
America Central e Caribe,Costa Rica,2016,dezembro,2
America Central e Caribe,Costa Rica,2016,fevereiro,2
America Central e Caribe,Costa Rica,2016,janeiro,2
America Central e Caribe,Costa Rica,2016,julho,3
America Central e Caribe,Costa Rica,2016,maio,3
America Central e Caribe,Costa Rica,2016,novembro,3
America Central e Caribe,Costa Rica,2016,outubro,2
America Central e Caribe,Costa Rica,2016,setembro,2
America Central e Caribe,Costa Rica,2017,dezembro,1
America Central e Caribe,Costa Rica,2017,julho,1
America Central e Caribe,Costa Rica,2017,outubro,1
America Central e Caribe,Costa Rica,2018,abril,1
America Central e Caribe,Costa Rica,2018,agosto,3
America Central e Caribe,Costa Rica,2018,dezembro,16
America Central e Caribe,Costa Rica,2018,fevereiro,1
America Central e Caribe,Costa Rica,2018,julho,1
America Central e Caribe,Costa Rica,2018,junho,6
America Central e Caribe,Costa Rica,2018,maio,1
America Central e Caribe,Costa Rica,2018,novembro,13
America Central e Caribe,Costa Rica,2018,outubro,9
America Central e Caribe,Costa Rica,2018,setembro,6
America Central e Caribe,Costa Rica,2019,agosto,3
America Central e Caribe,Costa Rica,2019,janeiro,2
America Central e Caribe,Costa Rica,2019,julho,12
America Central e Caribe,Costa Rica,2019,junho,10
America Central e Caribe,Costa Rica,2019,maio,1
America Central e Caribe,Costa Rica,2019,marco,1
America Central e Caribe,Costa Rica,2019,outubro,1
America Central e Caribe,Costa Rica,2019,setembro,4
America Central e Caribe,Costa Rica,2020,janeiro,2
America Central e Caribe,Costa Rica,2022,junho,1
America Central e Caribe,Costa Rica,2023,dezembro,2
America Central e Caribe,Costa Rica,2023,fevereiro,1
America Central e Caribe,Costa Rica,2023,maio,2
America Central e Caribe,Costa Rica,2023,outubro,1
America Central e Caribe,Costa Rica,2024,julho,3
America Central e Caribe,Costa Rica,2024,junho,1
America Central e Caribe,Costa Rica,2024,novembro,1
America Central e Caribe,Cuba,2015,abril,3
America Central e Caribe,Cuba,2015,dezembro,2
America Central e Caribe,Cuba,2015,fevereiro,2
America Central e Caribe,Cuba,2015,janeiro,2
America Central e Caribe,Cuba,2015,julho,2
America Central e Caribe,Cuba,2015,junho,10
America Central e Caribe,Cuba,2015,maio,3
America Central e Caribe,Cuba,2015,novembro,5
America Central e Caribe,Cuba,2015,outubro,6
America Central e Caribe,Cuba,2015,setembro,3
America Central e Caribe,Cuba,2016,janeiro,2
America Central e Caribe,Cuba,2017,agosto,1
America Central e Caribe,Cuba,2017,janeiro,1
America Central e Caribe,Cuba,2017,novembro,1
America Central e Caribe,Cuba,2017,outubro,1
America Central e Caribe,Cuba,2018,agosto,16
America Central e Caribe,Cuba,2018,dezembro,18
America Central e Caribe,Cuba,2018,julho,22
America Central e Caribe,Cuba,2018,novembro,13
America Central e Caribe,Cuba,2018,outubro,15
America Central e Caribe,Cuba,2018,setembro,3
America Central e Caribe,Cuba,2019,abril,2
America Central e Caribe,Cuba,2019,dezembro,3
America Central e Caribe,Cuba,2019,fevereiro,9
America Central e Caribe,Cuba,2019,janeiro,9
America Central e Caribe,Cuba,2019,julho,7
America Central e Caribe,Cuba,2019,junho,11
America Central e Caribe,Cuba,2019,maio,6
America Central e Caribe,Cuba,2019,novembro,2
America Central e Caribe,Cuba,2019,outubro,3
America Central e Caribe,Cuba,2019,setembro,2
America Central e Caribe,Cuba,2020,fevereiro,3
America Central e Caribe,Cuba,2021,novembro,1
America Central e Caribe,Cuba,2022,dezembro,2
America Central e Caribe,Cuba,2022,junho,1
America Central e Caribe,Cuba,2023,abril,1
America Central e Caribe,Cuba,2023,agosto,3
America Central e Caribe,Cuba,2023,dezembro,1
America Central e Caribe,Cuba,2023,julho,2
America Central e Caribe,Cuba,2023,maio,1
America Central e Caribe,Cuba,2024,abril,1
America Central e Caribe,Cuba,2024,agosto,7
America Central e Caribe,Cuba,2024,dezembro,2
America Central e Caribe,Cuba,2024,julho,4
America Central e Caribe,Cuba,2024,marco,1
America Central e Caribe,Cuba,2024,novembro,3
America Central e Caribe,Cuba,2024,setembro,1
America Central e Caribe,El Salvador,2015,dezembro,2
America Central e Caribe,El Salvador,2015,fevereiro,2
America Central e Caribe,El Salvador,2015,marco,2
America Central e Caribe,El Salvador,2015,novembro,2
America Central e Caribe,El Salvador,2016,dezembro,2
America Central e Caribe,El Salvador,2016,fevereiro,2
America Central e Caribe,El Salvador,2016,julho,3
America Central e Caribe,El Salvador,2016,maio,2
America Central e Caribe,El Salvador,2016,novembro,5
America Central e Caribe,El Salvador,2016,setembro,2
America Central e Caribe,El Salvador,2017,agosto,1
America Central e Caribe,El Salvador,2018,agosto,1
America Central e Caribe,El Salvador,2018,dezembro,1
America Central e Caribe,El Salvador,2018,novembro,4
America Central e Caribe,El Salvador,2018,setembro,1
America Central e Caribe,El Salvador,2019,agosto,1
America Central e Caribe,El Salvador,2019,dezembro,3
America Central e Caribe,El Salvador,2019,fevereiro,2
America Central e Caribe,El Salvador,2019,janeiro,2
America Central e Caribe,El Salvador,2019,julho,1
America Central e Caribe,El Salvador,2019,junho,5
America Central e Caribe,El Salvador,2019,maio,1
America Central e Caribe,El Salvador,2020,fevereiro,1
America Central e Caribe,El Salvador,2022,abril,1
America Central e Caribe,El Salvador,2022,fevereiro,1
